movie_title,rating
Alien Zone,4
The Roommate,5
Vampire Killers,4
Death Calls,4
Freaky Deaky,5
El Mariachi,4
Waterworld,4
The Thirteenth Floor,4
Feardotcom,4
The Island,5
Addicted,4
Red Planet,4
Beverly Hills Cop III,5
The Fifth Estate,5
Dawn of the Dead,4
Freaky Deaky,4
The Fugitive,4
One Missed Call,4
Bad Boys,4
The Covenant,5
Alien Zone,2
The Roommate,1
Vampire Killers,3
Death Calls,1
Freaky Deaky,1
El Mariachi,1
Waterworld,2
The Thirteenth Floor,2
Feardotcom,3
The Island,1
Addicted,1
Red Planet,1
Beverly Hills Cop III,3
The Fifth Estate,1
Dawn of the Dead,1
Freaky Deaky,2
The Fugitive,1
One Missed Call,2
Bad Boys,1
The Covenant,3
