movie_title,rating
Alive,3
The Vatican Exorcisms,4
The Cave,4
Heist,5
Hostel: Part II,4
Crash,5
No Good Deed,3
Stealth,4
Frequency,3
Teeth,4
You Kill Me,5
The Divide,4
State of Play,4
Tin Can Man,5
Brick Mansions,5
[Rec],3
Brighton Rock,5
The Bourne Supremacy,5
Antitrust,5
The Lords of Salem,5
Alive,2
The Vatican Exorcisms,1
The Cave,1
Heist,1
Hostel: Part II,1
Crash,1
No Good Deed,1
Stealth,1
Frequency,2
Teeth,2
You Kill Me,1
The Divide,1
State of Play,2
Tin Can Man,1
Brick Mansions,2
[Rec],2
Brighton Rock,2
The Bourne Supremacy,2
Antitrust,2
The Lords of Salem,1
